meter,total_consumption,avg_consumption,std_dev,peak,missing_pct,segment,volatility
MAC001359,3171.2019996,0.18102534533622558,0.19853096459515346,2.112,0.01141552511415525,Commercial,1.0906775879394144
MAC001361,3233.5100004,0.18462430058239124,0.1351757422346018,1.585,0.03424657534246575,Commercial,0.7282222306588715
MAC001362,969.5590000000001,0.05537805574594472,0.08879322142590468,1.181,0.0684931506849315,Residential,1.5749606872935058
MAC001363,1965.3049999,0.11218774973741294,0.104550854412805,1.3049999,0.01141552511415525,Residential,0.9236940804579569
MAC001365,2271.09,0.1296432241123416,0.09454993462817271,0.919,0.01141552511415525,Residential,0.7237262802613332
MAC001367,3384.1079997,0.19315684929794522,0.20111536450505466,1.7970001,0.0,Commercial,1.0358396586691165
MAC001368,1551.5649999,0.0885748130330536,0.08670541381978776,1.0779999,0.017123287671232876,Residential,0.9679664504328128
MAC001370,1193.987,0.06816161443169493,0.041477227970815454,0.879,0.017123287671232876,Residential,0.599714571610803
MAC001371,5803.0889998,0.33124544778811577,0.21452517554533043,2.3139999,0.005707762557077625,Industrial,0.6456828136352388
MAC001373,1520.9240001,0.08682559799623224,0.05978375453582388,1.1720001,0.017123287671232876,Residential,0.6807099057656132
MAC001374,2384.8979992000004,0.13617872433049738,0.2155442429080638,2.2850001,0.039954337899543384,Commercial,1.5712658355734854
MAC001375,1145.3969996,0.06538027282379132,0.13262476603384718,1.582,0.005707762557077625,Residential,1.9979545185947656
MAC001376,5421.610998600001,0.30947034640105037,0.29685618906609357,2.76,0.005707762557077625,Industrial,0.9561498948522101
MAC001377,3963.4149997000004,0.22626106066678087,0.23036129452098558,2.1960001,0.017123287671232876,Commercial,1.01364172923029
MAC001378,879.9019999999999,0.05022558365203493,0.06886317532570353,1.028,0.005707762557077625,Residential,1.3443121662307882
MAC001379,1129.6360000000002,0.06449902934795022,0.05798185521181168,1.243,0.03424657534246575,Residential,0.8852322818983303
MAC001380,7844.3990025,0.4477652264684057,0.29880628401549153,3.174,0.005707762557077625,Industrial,0.6658409929997735
MAC001381,5771.742001199999,0.35266662600513254,0.3060493314622063,3.187,6.5867579908675795,Industrial,0.8653610744084312
MAC001382,3637.4000005000003,0.20761415527968038,0.1708456547274747,1.832,0.0,Commercial,0.8189552357960992
MAC001384,2504.7809996,0.14313034283428572,0.16866499590020995,2.1440001,0.1141552511415525,Commercial,1.1702254541511292
MAC001385,1008.5540000000001,0.05757572643717532,0.06858344980095228,1.158,0.017123287671232876,Residential,1.1708510328849377
MAC001387,1589.7660001000002,0.09076597202968885,0.09225507309374752,1.351,0.028538812785388126,Residential,1.0053298739526284
MAC001388,1452.5639999999999,0.08291363662309492,0.12389130060828193,1.2970001,0.005707762557077625,Residential,1.4764143897701636
MAC001389,628.3109999000001,0.035866594354378355,0.04025306782715672,1.3049999,0.01141552511415525,Residential,1.0918575076457038
MAC001390,4763.5069984,0.27195175830098195,0.4061623645638051,4.4980001,0.0228310502283105,Industrial,1.4880371795074967
MAC001391,1198.027,0.06838834341819842,0.07139395110967586,1.563,0.01141552511415525,Residential,1.0289041010734294
MAC001392,681.7620000000001,0.0389200205514643,0.0691059380776849,0.913,0.017123287671232876,Residential,1.7311097820852712
MAC001393,4840.674,0.27711667048316924,0.2739942571535163,2.8640001,0.2968036529680365,Industrial,0.9851773957940344
MAC001395,8979.8329983,0.5126060622388401,0.3571758393251684,3.164,0.01141552511415525,Industrial,0.6954276158038656
